../jeu_100_75_2.txt_1000_best	../jeu_100_75_2.txt_1000_current	
-79	-79	
-70.8	-79	
-70.8	-87.2	
-70.8	-79	
-70.8	-87.2	
-70.8	-79	
-70.8	-87.2	
-70.8	-79	
-70.8	-87.2	
-70.8	-79	
-70.8	-95.4	
-70.8	-79	
-70.8	-79	
-70.8	-87.2	
-70.8	-87.2	
-70.8	-79	
-70.8	-87.2	
-70.8	-79	
-70.8	-87.2	
-70.8	-79	
-70.8	-103.6	
-70.8	-87.2	
-70.8	-95.4	
-70.8	-87.2	
-70.8	-87.2	
-70.8	-87.2	
-70.8	-87.2	
-70.8	-87.2	
-64.24	-79	
-64.24	-87.2	
-58.992	-87.2	
-58.992	-95.4	
-58.992	-87.2	
-58.992	-95.4	
-58.992	-79	
-58.992	-79	
-58.992	-87.2	
-58.992	-87.2	
-58.992	-79	
-58.992	-79	
-58.992	-79	
-58.992	-95.4	
-58.992	-79	
-58.992	-87.2	
-58.992	-79	
-58.992	-79	
-58.992	-87.2	
-58.992	-79	
-58.992	-79	
-58.992	-87.2	
-58.992	-87.2	
-58.992	-79	
-58.992	-95.4	
-58.992	-87.2	
-58.992	-79	
-58.992	-87.2	
-58.992	-79	
-58.992	-87.2	
-54.7936	-79	
-54.7936	-95.4	
-54.7936	-87.2	
-54.7936	-79	
-54.7936	-79	
-54.7936	-79	
-54.7936	-95.4	
-54.7936	-87.2	
-54.7936	-95.4	
-54.7936	-95.4	
-54.7936	-79	
-54.7936	-79	
-54.7936	-79	
-54.7936	-79	
-54.7936	-103.6	
-54.7936	-87.2	
-54.7936	-103.6	
-54.7936	-87.2	
-54.7936	-87.2	
-54.7936	-87.2	
-54.7936	-87.2	
-54.7936	-79	
-54.7936	-79	
-54.7936	-95.4	
-54.7936	-79	
-54.7936	-87.2	
-54.7936	-95.4	
-54.7936	-79	
-54.7936	-79	
-54.7936	-87.2	
-54.7936	-79	
-54.7936	-79	
-51.4349	-70.8	
-51.4349	-79	
-51.4349	-95.4	
-51.4349	-79	
-51.4349	-87.2	
-51.4349	-79	
-51.4349	-79	
-48.7479	-79	
-48.7479	-87.2	
-48.7479	-79	
-48.7479	-87.2	
-48.7479	-79	
-48.7479	-79	
-48.7479	-95.4	
-48.7479	-79	
-48.7479	-79	
-48.7479	-87.2	
-48.7479	-87.2	
-48.7479	-87.2	
-48.7479	-79	
-48.7479	-95.4	
-48.7479	-95.4	
-48.7479	-87.2	
-48.7479	-79	
-48.7479	-95.4	
-48.7479	-87.2	
-48.7479	-87.2	
-48.7479	-79	
-48.7479	-103.6	
-48.7479	-79	
-48.7479	-79	
-48.7479	-79	
-48.7479	-87.2	
-48.7479	-79	
-48.7479	-79	
-48.7479	-79	
-48.7479	-95.4	
-48.7479	-87.2	
-48.7479	-79	
-48.7479	-87.2	
-48.7479	-87.2	
-48.7479	-87.2	
-48.7479	-87.2	
-48.7479	-87.2	
-48.7479	-79	
-48.7479	-79	
-48.7479	-87.2	
-48.7479	-79	
-48.7479	-87.2	
-48.7479	-87.2	
-48.7479	-87.2	
-48.7479	-79	
-48.7479	-79	
-48.7479	-79	
-48.7479	-95.4	
-48.7479	-79	
-48.7479	-79	
-48.7479	-79	
-48.7479	-79	
-48.7479	-79	
-48.7479	-79	
-48.7479	-79	
-48.7479	-95.4	
-48.7479	-79	
-48.7479	-87.2	
-48.7479	-79	
-48.7479	-87.2	
-48.7479	-87.2	
-48.7479	-95.4	
-48.7479	-95.4	
-48.7479	-87.2	
-48.7479	-87.2	
-46.5983	-70.8	
-46.5983	-79	
-46.5983	-79	
-46.5983	-79	
-46.5983	-79	
-44.8787	-70.8	
-44.8787	-95.4	
-44.8787	-95.4	
-44.8787	-87.2	
-44.8787	-79	
-44.8787	-87.2	
-44.8787	-79	
-44.8787	-103.6	
-44.8787	-79	
-44.8787	-87.2	
-44.8787	-79	
-44.8787	-87.2	
-44.8787	-79	
-44.8787	-79	
-44.8787	-95.4	
-44.8787	-87.2	
-44.8787	-79	
-44.8787	-95.4	
-44.8787	-87.2	
-44.8787	-79	
-44.8787	-95.4	
-44.8787	-79	
-44.8787	-79	
-44.8787	-87.2	
-44.8787	-87.2	
-44.8787	-79	
