../jeu_100_25_4.txt_3_currentFirst	../jeu_100_25_4.txt_3_bestFirst	../jeu_100_25_4.txt_3_currentBest	../jeu_100_25_4.txt_3_bestBest	../jeu_100_75_2.txt_3_currentFirst	../jeu_100_75_2.txt_3_bestFirst	../jeu_100_75_2.txt_3_currentBest	../jeu_100_75_2.txt_3_bestBest	../jeu_200_25_8.txt_3_currentFirst	../jeu_200_25_8.txt_3_bestFirst	../jeu_200_25_8.txt_3_currentBest	../jeu_200_25_8.txt_3_bestBest	../jeu_200_75_5.txt_3_currentFirst	../jeu_200_75_5.txt_3_bestFirst	../jeu_200_75_5.txt_3_currentBest	../jeu_200_75_5.txt_3_bestBest	
-104.733	-104.733	13166	13166	-107.333	-107.333	-136.333	-136.333	-174.733	-174.733	-265.733	-265.733	-58.7333	-58.7333	-309.733	-309.733	
0	0	0	13166	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	13166	0	0	0	0	0	0	0	0	0	0	0	0	
46	46	30881.5	30881.5	213	213	72032.7	72032.7	15	15	220	220	50	50	267285	267285	
79	79	32609.5	32609.5	1532	1532	79599.7	79599.7	49	49	90108.5	90108.5	88	88	277035	277035	
88	88	34247.5	34247.5	1765	1765	83733.7	83733.7	98	98	93720.5	93720.5	111	111	298015	298015	
11978.7	11978.7	34631.5	34631.5	2612	2612	86233.7	86233.7	134	134	99637.5	99637.5	139	139	308223	308223	
12434.7	12434.7	34956.5	34956.5	3841	3841	88381.7	88381.7	136	136	103748	103748	143	143	322340	322340	
12479.7	12479.7	35437.5	35437.5	4126	4126	90588.7	90588.7	147	147	105128	105128	176	176	325207	325207	
12735.7	12735.7	36043.5	36043.5	5156	5156	0	90588.7	151	151	105858	105858	203	203	334020	334020	
12897.7	12897.7	36476.5	36476.5	5241	5241	0	90588.7	155	155	106164	106164	138093	138093	337068	337068	
12898.7	12898.7	36916.5	36916.5	5272	5272	127	90588.7	192	192	106623	106623	140721	140721	339613	339613	
13120.7	13120.7	37257.5	37257.5	5273	5273	307	90588.7	45743.7	45743.7	107456	107456	142612	142612	342441	342441	
13394.7	13394.7	37635.5	37635.5	6302	6302	59654.7	90588.7	46114.7	46114.7	107900	107900	142860	142860	347189	347189	
13440.7	13440.7	37925.5	37925.5	6353	6353	65698.7	90588.7	46539.7	46539.7	0	107900	144663	144663	349930	349930	
13688.7	13688.7	38361.5	38361.5	6482	6482	70885.7	90588.7	46615.7	46615.7	0	107900	146778	146778	356348	356348	
13846.7	13846.7	38625.5	38625.5	7694	7694	76201.7	90588.7	47448.7	47448.7	94609.5	107900	147183	147183	358768	358768	
14176.7	14176.7	38912.5	38912.5	8462	8462	77654.7	90588.7	47813.7	47813.7	103017	107900	148958	148958	361789	361789	
14645.7	14645.7	39225.5	39225.5	9870	9870	83194.7	90588.7	48332.7	48332.7	105185	107900	150514	150514	364923	364923	
14801.7	14801.7	39654.5	39654.5	10030	10030	84941.7	90588.7	48423.7	48423.7	106800	107900	150728	150728	375099	375099	
15023.7	15023.7	40189.5	40189.5	10062	10062	85708.7	90588.7	48555.7	48555.7	107605	107900	151007	151007	377272	377272	
15382.7	15382.7	40680.5	40680.5	10754	10754	86627.7	90588.7	48928.7	48928.7	108689	108689	151340	151340	379903	379903	
15403.7	15403.7	40752.5	40752.5	11638	11638	88069.7	90588.7	49177.7	49177.7	109620	109620	151567	151567	382008	382008	
15405.7	15405.7	41198.5	41198.5	11774	11774	89342.7	90588.7	49422.7	49422.7	110356	110356	153328	153328	383928	383928	
15547.7	15547.7	41566.5	41566.5	12790	12790	0	90588.7	49503.7	49503.7	110889	110889	153464	153464	385945	385945	
15732.7	15732.7	41590.5	41590.5	12823	12823	0	90588.7	50199.7	50199.7	111561	111561	153664	153664	386069	386069	
16116.7	16116.7	41762.5	41762.5	12960	12960	67670.7	90588.7	50839.7	50839.7	112286	112286	153687	153687	0	386069	
16417.7	16417.7	42372.5	42372.5	13193	13193	73884.7	90588.7	50943.7	50943.7	112748	112748	156056	156056	0	386069	
16508.7	16508.7	43086.5	43086.5	14400	14400	82864.7	90588.7	51164.7	51164.7	113358	113358	156305	156305	174	386069	
16708.7	16708.7	43202.5	43202.5	15504	15504	83999.7	90588.7	51904.7	51904.7	114213	114213	158179	158179	247	386069	
16714.7	16714.7	43246.5	43246.5	15599	15599	85663.7	90588.7	52174.7	52174.7	114953	114953	158778	158778	307	386069	
16726.7	16726.7	43610.5	43610.5	16509	16509	86545.7	90588.7	53308.7	53308.7	115541	115541	158809	158809	333	386069	
16877.7	16877.7	43993.5	43993.5	0	16509	87916.7	90588.7	53420.7	53420.7	116535	116535	160606	160606	271431	386069	
17226.7	17226.7	44246.5	44246.5	0	16509	88737.7	90588.7	53651.7	53651.7	117339	117339	162402	162402	292611	386069	
17330.7	17330.7	44672.5	44672.5	29	16509	89887.7	90588.7	54266.7	54266.7	117680	117680	163684	163684	306958	386069	
18049.7	18049.7	45278.5	45278.5	68	16509	90920.7	90920.7	54497.7	54497.7	118171	118171	164199	164199	316493	386069	
18205.7	18205.7	45525.5	45525.5	105	16509	91737.7	91737.7	55248.7	55248.7	118847	118847	164688	164688	319293	386069	
18279.7	18279.7	45795.5	45795.5	111	16509	92603.7	92603.7	55332.7	55332.7	119672	119672	166278	166278	327980	386069	
18490.7	18490.7	46268.5	46268.5	114	16509	93543.7	93543.7	55346.7	55346.7	120407	120407	166561	166561	329881	386069	
0	18490.7	46506.5	46506.5	36535.3	36535.3	94502.7	94502.7	55403.7	55403.7	120973	120973	168551	168551	331684	386069	
0	18490.7	46723.5	46723.5	37832.3	37832.3	98287.7	98287.7	55448.7	55448.7	121414	121414	169283	169283	333342	386069	
13812.7	18490.7	47235.5	47235.5	37943.3	37943.3	98697.7	98697.7	55938.7	55938.7	121634	121634	169429	169429	335383	386069	
14051.7	18490.7	47749.5	47749.5	38169.3	38169.3	99603.7	99603.7	56715.7	56715.7	122144	122144	169744	169744	337465	386069	
14288.7	18490.7	47815.5	47815.5	38912.3	38912.3	100167	100167	57568.7	57568.7	123110	123110	170243	170243	340004	386069	
14728.7	18490.7	0	47815.5	39062.3	39062.3	101186	101186	57797.7	57797.7	124008	124008	172201	172201	342429	386069	
14874.7	18490.7	0	47815.5	39106.3	39106.3	102509	102509	57836.7	57836.7	124008	124008	174045	174045	344706	386069	
14954.7	18490.7	199	47815.5	39893.3	39893.3	103639	103639	58267.7	58267.7	124008	124008	174075	174075	346367	386069	
15119.7	18490.7	26368.5	47815.5	39916.3	39916.3	104863	104863	58955.7	58955.7	124008	124008	174154	174154	348622	386069	
15243.7	18490.7	28678.5	47815.5	41127.3	41127.3	105797	105797	59065.7	59065.7	124008	124008	174199	174199	350266	386069	
15766.7	18490.7	30193.5	47815.5	41912.3	41912.3	107021	107021	59570.7	59570.7	124008	124008	175657	175657	352309	386069	
15971.7	18490.7	32879.5	47815.5	42670.3	42670.3	108328	108328	60015.7	60015.7	124008	124008	0	175657	354509	386069	
16323.7	18490.7	33743.5	47815.5	43585.3	43585.3	109461	109461	60238.7	60238.7	124008	124008	0	175657	356917	386069	
16703.7	18490.7	34339.5	47815.5	43599.3	43599.3	110367	110367	60455.7	60455.7	124008	124008	34	175657	359394	386069	
16926.7	18490.7	34637.5	47815.5	44625.3	44625.3	112039	112039	0	60455.7	124008	124008	49	175657	361622	386069	
16973.7	18490.7	34875.5	47815.5	44666.3	44666.3	113620	113620	0	60455.7	124008	124008	87	175657	363940	386069	
17201.7	18490.7	35324.5	47815.5	45776.3	45776.3	114844	114844	6	60455.7	124008	124008	120	175657	365601	386069	
17314.7	18490.7	35765.5	47815.5	46589.3	46589.3	115869	115869	15	60455.7	124008	124008	132	175657	366763	386069	
17646.7	18490.7	36292.5	47815.5	46606.3	46606.3	0	115869	19	60455.7	124008	124008	143	175657	368602	386069	
17875.7	18490.7	0	47815.5	46685.3	46685.3	0	115869	29	60455.7	124008	124008	160	175657	371190	386069	
18263.7	18490.7	0	47815.5	47006.3	47006.3	73228.7	115869	50391.7	60455.7	124008	124008	193	175657	373460	386069	
18723.7	18723.7	27461.5	47815.5	0	47006.3	80339.7	115869	51277.7	60455.7	124008	124008	196	175657	375402	386069	
18727.7	18727.7	28503.5	47815.5	0	47006.3	82543.7	115869	51748.7	60455.7	124008	124008	135078	175657	378122	386069	
