../jeu_200_25_8.txt_3_currentFirst	../jeu_200_25_8.txt_3_bestFirst	../jeu_200_25_8.txt_3_currentBest	../jeu_200_25_8.txt_3_bestBest	
-98.7333	-98.7333	44677	44677	
0	0	0	44677	
0	0	0	44677	
12	12	225	44677	
45	45	6789	44677	
80	80	8745	44677	
119	119	8443	44677	
152	152	8445	44677	
192	192	0	44677	
196	196	0	44677	
200	200	149	44677	
204	204	283	44677	
209	209	313	44677	
211	211	327	44677	
212	212	0	44677	
0	212	0	44677	
0	212	101	44677	
16	212	117	44677	
19	212	4506	44677	
63	212	9737	44677	
102	212	9030	44677	
110	212	9055	44677	
111	212	0	44677	
113	212	0	44677	
117	212	85	44677	
123	212	141	44677	
126	212	149	44677	
0	212	0	44677	
0	212	0	44677	
47	212	31	44677	
55	212	31	44677	
89	212	31	44677	
99	212	31	44677	
109	212	31	44677	
130	212	31	44677	
171	212	31	44677	
186	212	31	44677	
188	212	31	44677	
189	212	31	44677	
191	212	31	44677	
0	212	31	44677	
0	212	31	44677	
48	212	31	44677	
57	212	31	44677	
106	212	31	44677	
117	212	31	44677	
149	212	31	44677	
184	212	31	44677	
205	212	31	44677	
206	212	31	44677	
0	212	31	44677	
0	212	31	44677	
11	212	31	44677	
18	212	31	44677	
68	212	31	44677	
71	212	31	44677	
95	212	31	44677	
104	212	31	44677	
112	212	31	44677	
122	212	31	44677	
130	212	31	44677	
131	212	31	44677	
131	212	31	44677	
