../jeu_200_25_8.txt_5_currentSA	../jeu_200_25_8.txt_5_bestSA	../jeu_200_25_8.txt_5_currentTS	../jeu_200_25_8.txt_5_bestTS	../jeu_200_25_8.txt_5_currentGrasp	../jeu_200_25_8.txt_5_bestGrasp	../jeu_200_25_8.txt_5_currentIG	../jeu_200_25_8.txt_5_bestIG	
-388.84	-388.84	-214.84	-214.84	-177.84	-177.84	-360.84	-360.84	
-388.84	-388.84	-164.84	-164.84	37	37	37	37	
-371.84	-371.84	-116.84	-116.84	133	133	112	112	
-371.84	-371.84	-93.84	-93.84	193	193	259	259	
-348.84	-348.84	-80.84	-80.84	268	268	356	356	
-338.84	-338.84	-67.84	-67.84	360	360	539	539	
-306.84	-306.84	-63.84	-63.84	506	506	623	623	
-306.84	-306.84	-61.84	-61.84	778	778	762	762	
-306.84	-306.84	-48.84	-48.84	833	833	954	954	
-306.84	-306.84	-38.84	-38.84	908	908	1176	1176	
-306.84	-306.84	-23.84	-23.84	1092	1092	1346	1346	
-306.84	-306.84	-15.84	-15.84	1295	1295	1623	1623	
-298.84	-298.84	-15.84	-15.84	1809	1809	2191	2191	
-298.84	-298.84	-15.84	-15.84	1969	1969	2541	2541	
-258.84	-258.84	-7.84	-7.84	2319	2319	2949	2949	
-258.84	-258.84	28482	28482	2495	2495	3239	3239	
-258.84	-258.84	29232	29232	2859	2859	3740	3740	
-212.84	-212.84	30019	30019	3222	3222	3905	3905	
-172.84	-172.84	30721	30721	3603	3603	4128	4128	
-188.84	-172.84	31323	31323	3797	3797	4324	4324	
-195.84	-172.84	31907	31907	4058	4058	4776	4776	
-195.84	-172.84	32490	32490	4329	4329	5026	5026	
-206.84	-172.84	33037	33037	4532	4532	5271	5271	
-206.84	-172.84	33629	33629	4954	4954	5521	5521	
-206.84	-172.84	34159	34159	5443	5443	5871	5871	
-206.84	-172.84	34711	34711	5895	5895	6092	6092	
-206.84	-172.84	35227	35227	6284	6284	6375	6375	
-206.84	-172.84	35739	35739	6494	6494	6629	6629	
-206.84	-172.84	36252	36252	7037	7037	7013	7013	
-206.84	-172.84	36748	36748	7516	7516	7448	7448	
-197.84	-172.84	37231	37231	7795	7795	7683	7683	
-197.84	-172.84	37626	37626	8228	8228	7948	7948	
-197.84	-172.84	37976	37976	8654	8654	8386	8386	
-197.84	-172.84	38291	38291	9069	9069	8925	8925	
-197.84	-172.84	38595	38595	9379	9379	9715	9715	
-197.84	-172.84	38743	38743	9916	9916	10098	10098	
-197.84	-172.84	38909	38909	10470	10470	10701	10701	
-158.84	-158.84	39050	39050	11092	11092	11199	11199	
-158.84	-158.84	39229	39229	11489	11489	11773	11773	
-158.84	-158.84	39569	39569	11956	11956	12199	12199	
-158.84	-158.84	39606	39606	12339	12339	12848	12848	
-158.84	-158.84	39685	39685	13111	13111	13301	13301	
-158.84	-158.84	39674	39685	13774	13774	14109	14109	
-158.84	-158.84	40278	40278	14343	14343	14887	14887	
-158.84	-158.84	40837	40837	14988	14988	15628	15628	
-158.84	-158.84	40801	40837	15436	15436	16392	16392	
-158.84	-158.84	40833	40837	16135	16135	17193	17193	
-158.84	-158.84	40832	40837	16764	16764	17889	17889	
-158.84	-158.84	40769	40837	17449	17449	18705	18705	
-158.84	-158.84	41403	41403	18010	18010	19278	19278	
-158.84	-158.84	41689	41689	18757	18757	19720	19720	
-158.84	-158.84	41987	41987	19206	19206	20138	20138	
-158.84	-158.84	41857	41987	19898	19898	20963	20963	
-158.84	-158.84	42499	42499	20746	20746	21455	21455	
-187.84	-158.84	43052	43052	21454	21454	22054	22054	
-187.84	-158.84	43192	43192	22182	22182	22835	22835	
-187.84	-158.84	43205	43205	22959	22959	23599	23599	
-187.84	-158.84	43073	43205	23784	23784	24644	24644	
-187.84	-158.84	43696	43696	24383	24383	25083	25083	
-187.84	-158.84	44331	44331	25197	25197	25805	25805	
-198.84	-158.84	44579	44579	25873	25873	26398	26398	
-198.84	-158.84	44752	44752	26466	26466	27196	27196	
-198.84	-158.84	44893	44893	26986	26986	27965	27965	
-198.84	-158.84	45074	45074	28001	28001	28940	28940	
-198.84	-158.84	45224	45224	28667	28667	29897	29897	
-232.84	-158.84	45311	45311	29598	29598	30766	30766	
-232.84	-158.84	45941	45941	30507	30507	31462	31462	
-253.84	-158.84	46090	46090	31332	31332	32202	32202	
-253.84	-158.84	46220	46220	32255	32255	32742	32742	
-288.84	-158.84	46359	46359	32824	32824	33760	33760	
-288.84	-158.84	46279	46359	33765	33765	34839	34839	
-288.84	-158.84	46202	46359	34624	34624	35780	35780	
-292.84	-158.84	46072	46359	35739	35739	36478	36478	
-273.84	-158.84	46315	46359	36818	36818	37327	37327	
-273.84	-158.84	46428	46428	37725	37725	38269	38269	
-268.84	-158.84	46574	46574	38548	38548	39129	39129	
-268.84	-158.84	46759	46759	39618	39618	39940	39940	
