../jeu_100_25_4.txt_5_currentGA	../jeu_100_25_4.txt_5_bestGA	../jeu_100_25_4.txt_5_currentACO	../jeu_100_25_4.txt_5_bestACO	
-128.44	-128.44	10391	10391	
-116.44	-116.44	10000	10391	
-267.44	-116.44	9710	10391	
-235.44	-116.44	10275	10391	
-314.44	-116.44	9768	10391	
-227.44	-116.44	10391	10391	
-122.44	-116.44	11054	11054	
-124.44	-116.44	10976	11054	
-113.44	-113.44	10640	11054	
-189.44	-113.44	10793	11054	
-60.44	-60.44	10515	11054	
-215.44	-60.44	10692	11054	
-239.44	-60.44	11054	11054	
-321.44	-60.44	10489	11054	
-137.44	-60.44	10741	11054	
-240.44	-60.44	10659	11054	
-313.44	-60.44	10543	11054	
-149.44	-60.44	10672	11054	
-268.44	-60.44	10481	11054	
-374.44	-60.44	10444	11054	
-195.44	-60.44	11300	11300	
-326.44	-60.44	10693	11300	
-203.44	-60.44	10691	11300	
-220.44	-60.44	10591	11300	
-238.44	-60.44	10693	11300	
-221.44	-60.44	11184	11300	
-127.44	-60.44	11054	11300	
-339.44	-60.44	11210	11300	
-95.44	-60.44	10481	11300	
-73.44	-60.44	11132	11300	
-258.44	-60.44	11559	11559	
-185.44	-60.44	11054	11559	
-191.44	-60.44	10514	11559	
-270.44	-60.44	10648	11559	
-374.44	-60.44	11132	11559	
-182.44	-60.44	11070	11559	
-132.44	-60.44	10803	11559	
-132.44	-60.44	10909	11559	
-143.44	-60.44	10598	11559	
9021	9021	10636	11559	
-101.44	9021	11102	11559	
-330.44	9021	11251	11559	
-250.44	9021	10743	11559	
-173.44	9021	11042	11559	
-157.44	9021	11113	11559	
-292.44	9021	11238	11559	
-140.44	9021	10869	11559	
-147.44	9021	10809	11559	
-109.44	9021	11486	11559	
-258.44	9021	10800	11559	
-114.44	9021	11238	11559	
-95.44	9021	11206	11559	
-118.44	9021	10844	11559	
-180.44	9021	10977	11559	
-212.44	9021	10809	11559	
-38.44	9021	11070	11559	
-90.44	9021	11070	11559	
-226.44	9021	10808	11559	
-223.44	9021	10604	11559	
-171.44	9021	10773	11559	
-106.44	9021	11167	11559	
-170.44	9021	11070	11559	
-127.44	9021	10809	11559	
-247.44	9021	10305	11559	
-145.44	9021	11026	11559	
-242.44	9021	11070	11559	
-232.44	9021	11167	11559	
-303.44	9021	10809	11559	
-242.44	9021	10824	11559	
-180.44	9021	11238	11559	
-152.44	9021	11070	11559	
-299.44	9021	11287	11559	
-108.44	9021	11213	11559	
-305.44	9021	10305	11559	
-296.44	9021	11070	11559	
-141.44	9021	11451	11559	
-267.44	9021	11559	11559	
-192.44	9021	11669	11669	
-176.44	9021	10466	11669	
-195.44	9021	11331	11669	
-136.44	9021	11147	11669	
-394.44	9021	11649	11669	
-181.44	9021	11102	11669	
-84.44	9021	11283	11669	
-169.44	9021	11164	11669	
-157.44	9021	11749	11749	
-222.44	9021	11669	11749	
-352.44	9021	11008	11749	
-129.44	9021	11233	11749	
-228.44	9021	11283	11749	
-98.44	9021	11802	11802	
-175.44	9021	11535	11802	
-212.44	9021	11669	11802	
-63.44	9021	11802	11802	
-100.44	9021	11749	11802	
-182.44	9021	11802	11802	
-111.44	9021	11390	11802	
-147.44	9021	11722	11802	
-94.44	9021	11802	11802	
-149.44	9021	11623	11802	
-263.44	9021	11802	11802	
-270.44	9021	11339	11802	
-199.44	9021	11669	11802	
-165.44	9021	11802	11802	
-192.44	9021	11802	11802	
-132.44	9021	11726	11802	
-176.44	9021	11749	11802	
-226.44	9021	11722	11802	
-230.44	9021	11802	11802	
-168.44	9021	11802	11802	
-162.44	9021	11699	11802	
-188.44	9021	11802	11802	
-165.44	9021	11722	11802	
-279.44	9021	11802	11802	
-240.44	9021	11802	11802	
-159.44	9021	11623	11802	
-185.44	9021	11392	11802	
-240.44	9021	11669	11802	
-231.44	9021	11623	11802	
-117.44	9021	11859	11859	
-77.44	9021	11878	11878	
-172.44	9021	11657	11878	
-192.44	9021	11669	11878	
-241.44	9021	11802	11878	
-181.44	9021	11859	11878	
-191.44	9021	11697	11878	
-220.44	9021	11657	11878	
-94.44	9021	11798	11878	
