../jeu_100_25_4.txt_3_currentGA	../jeu_100_25_4.txt_3_bestGA	../jeu_100_25_4.txt_3_currentACO	../jeu_100_25_4.txt_3_bestACO	
-103.733	-103.733	556	556	
-244.733	-103.733	556	556	
-147.733	-103.733	556	556	
14896	14896	556	556	
-61.7333	14896	556	556	
-28.7333	14896	556	556	
-90.7333	14896	556	556	
-68.7333	14896	556	556	
-213.733	14896	556	556	
-56.7333	14896	556	556	
-192.733	14896	556	556	
-169.733	14896	556	556	
-45.7333	14896	556	556	
-137.733	14896	556	556	
-45.7333	14896	556	556	
14364	14896	556	556	
-6.73333	14896	556	556	
-27.7333	14896	556	556	
11140	14896	556	556	
-267.733	14896	556	556	
-34.7333	14896	556	556	
-27.7333	14896	556	556	
-254.733	14896	556	556	
-116.733	14896	556	556	
-169.733	14896	556	556	
-99.7333	14896	556	556	
10450	14896	556	556	
-48.7333	14896	556	556	
-304.733	14896	556	556	
-220.733	14896	556	556	
-79.7333	14896	556	556	
-91.7333	14896	556	556	
-64.7333	14896	556	556	
-113.733	14896	556	556	
11043	14896	556	556	
-89.7333	14896	556	556	
-216.733	14896	556	556	
-89.7333	14896	556	556	
-32.7333	14896	556	556	
-75.7333	14896	556	556	
-84.7333	14896	556	556	
-65.7333	14896	556	556	
-77.7333	14896	556	556	
-6.73333	14896	556	556	
-15.7333	14896	556	556	
-44.7333	14896	556	556	
-95.7333	14896	556	556	
-245.733	14896	556	556	
-141.733	14896	556	556	
-63.7333	14896	556	556	
-68.7333	14896	556	556	
-41.7333	14896	556	556	
-72.7333	14896	556	556	
-184.733	14896	556	556	
-110.733	14896	556	556	
-109.733	14896	556	556	
-380.733	14896	556	556	
12527	14896	556	556	
-177.733	14896	556	556	
-204.733	14896	556	556	
-195.733	14896	556	556	
-269.733	14896	556	556	
-52.7333	14896	556	556	
-68.7333	14896	556	556	
-87.7333	14896	556	556	
-222.733	14896	556	556	
-249.733	14896	726	726	
12269	14896	556	726	
-144.733	14896	556	726	
13133	14896	556	726	
-146.733	14896	556	726	
-69.7333	14896	556	726	
-73.7333	14896	556	726	
10489	14896	726	726	
-75.7333	14896	556	726	
-131.733	14896	556	726	
-147.733	14896	556	726	
-147.733	14896	726	726	
-240.733	14896	556	726	
-34.7333	14896	556	726	
-131.733	14896	556	726	
-101.733	14896	726	726	
-93.7333	14896	726	726	
-96.7333	14896	726	726	
-47.7333	14896	726	726	
-15.7333	14896	556	726	
-237.733	14896	726	726	
-228.733	14896	726	726	
-28.7333	14896	726	726	
-88.7333	14896	556	726	
-58.7333	14896	556	726	
-11.7333	14896	556	726	
-97.7333	14896	726	726	
-298.733	14896	556	726	
-109.733	14896	556	726	
-89.7333	14896	726	726	
-66.7333	14896	556	726	
-4.73333	14896	556	726	
-8.73333	14896	726	726	
-59.7333	14896	556	726	
-92.7333	14896	726	726	
-113.733	14896	556	726	
-279.733	14896	556	726	
-153.733	14896	556	726	
-7.73333	14896	726	726	
-89.7333	14896	726	726	
-3.73333	14896	556	726	
-195.733	14896	556	726	
-98.7333	14896	726	726	
-83.7333	14896	726	726	
-135.733	14896	726	726	
-31.7333	14896	556	726	
-181.733	14896	556	726	
-80.7333	14896	726	726	
14364	14896	556	726	
10846	14896	556	726	
-71.7333	14896	556	726	
14476	14896	726	726	
-144.733	14896	726	726	
-63.7333	14896	556	726	
11405	14896	556	726	
-34.7333	14896	556	726	
-44.7333	14896	726	726	
12272	14896	556	726	
-143.733	14896	556	726	
-66.7333	14896	726	726	
13159	14896	556	726	
-131.733	14896	726	726	
-91.7333	14896	556	726	
-26.7333	14896	726	726	
-125.733	14896	556	726	
-48.7333	14896	726	726	
-86.7333	14896	726	726	
11951	14896	556	726	
-148.733	14896	556	726	
14364	14896	556	726	
-134.733	14896	556	726	
-39.7333	14896	556	726	
-127.733	14896	726	726	
-97.7333	14896	726	726	
13647	14896	726	726	
-193.733	14896	556	726	
13013	14896	556	726	
-163.733	14896	726	726	
-135.733	14896	556	726	
-6.73333	14896	556	726	
-23.7333	14896	556	726	
-68.7333	14896	726	726	
14044	14896	556	726	
-82.7333	14896	556	726	
-8.73333	14896	556	726	
-101.733	14896	726	726	
-30.7333	14896	726	726	
12654	14896	726	726	
-190.733	14896	556	726	
-36.7333	14896	726	726	
-56.7333	14896	556	726	
-144.733	14896	556	726	
-4.73333	14896	556	726	
-79.7333	14896	726	726	
-60.7333	14896	556	726	
12014	14896	556	726	
-163.733	14896	726	726	
-92.7333	14896	556	726	
-47.7333	14896	726	726	
-73.7333	14896	726	726	
-246.733	14896	556	726	
-55.7333	14896	556	726	
-46.7333	14896	726	726	
-147.733	14896	556	726	
-53.7333	14896	556	726	
-110.733	14896	556	726	
-1.73333	14896	726	726	
-153.733	14896	726	726	
-47.7333	14896	726	726	
12584	14896	726	726	
-104.733	14896	726	726	
12062	14896	556	726	
-29.7333	14896	726	726	
-121.733	14896	556	726	
13459	14896	726	726	
13694	14896	556	726	
11768	14896	556	726	
-108.733	14896	726	726	
-17.7333	14896	556	726	
-163.733	14896	726	726	
-56.7333	14896	726	726	
-137.733	14896	726	726	
-109.733	14896	726	726	
12404	14896	556	726	
14843	14896	556	726	
14145	14896	556	726	
13235	14896	726	726	
-28.7333	14896	726	726	
-234.733	14896	556	726	
-6.73333	14896	726	726	
-130.733	14896	556	726	
13844	14896	556	726	
-29.7333	14896	556	726	
-62.7333	14896	726	726	
11892	14896	726	726	
-274.733	14896	556	726	
-95.7333	14896	726	726	
-74.7333	14896	726	726	
-116.733	14896	556	726	
12339	14896	556	726	
-17.7333	14896	726	726	
12616	14896	726	726	
-132.733	14896	726	726	
13535	14896	726	726	
-134.733	14896	726	726	
-20.7333	14896	726	726	
11098	14896	556	726	
12166	14896	726	726	
-42.7333	14896	556	726	
13493	14896	556	726	
-76.7333	14896	556	726	
-33.7333	14896	556	726	
12024	14896	726	726	
-28.7333	14896	556	726	
12955	14896	556	726	
10365	14896	726	726	
13429	14896	556	726	
13503	14896	556	726	
-13.7333	14896	726	726	
12565	14896	726	726	
-35.7333	14896	726	726	
-23.7333	14896	726	726	
14195	14896	726	726	
10030	14896	726	726	
-22.7333	14896	726	726	
14640	14896	556	726	
13157	14896	556	726	
-8.73333	14896	556	726	
13304	14896	726	726	
-163.733	14896	556	726	
10727	14896	556	726	
14064	14896	726	726	
-73.7333	14896	556	726	
12630	14896	726	726	
-67.7333	14896	556	726	
13433	14896	726	726	
13040	14896	556	726	
-6.73333	14896	726	726	
-75.7333	14896	726	726	
-60.7333	14896	556	726	
11094	14896	726	726	
12262	14896	556	726	
-4.73333	14896	556	726	
-35.7333	14896	556	726	
-12.7333	14896	726	726	
-63.7333	14896	556	726	
-79.7333	14896	556	726	
-169.733	14896	726	726	
10657	14896	556	726	
-2.73333	14896	556	726	
-39.7333	14896	726	726	
-12.7333	14896	556	726	
-62.7333	14896	556	726	
-31.7333	14896	726	726	
-22.7333	14896	556	726	
-119.733	14896	556	726	
10600	14896	726	726	
12154	14896	726	726	
12722	14896	556	726	
-30.7333	14896	726	726	
-57.7333	14896	726	726	
11816	14896	726	726	
-39.7333	14896	726	726	
-73.7333	14896	556	726	
-88.7333	14896	726	726	
13862	14896	726	726	
14491	14896	726	726	
-196.733	14896	556	726	
12810	14896	556	726	
15041	15041	726	726	
-23.7333	15041	556	726	
13821	15041	726	726	
-128.733	15041	556	726	
-36.7333	15041	726	726	
-98.7333	15041	556	726	
11909	15041	556	726	
-27.7333	15041	726	726	
-23.7333	15041	556	726	
-62.7333	15041	556	726	
12476	15041	556	726	
14634	15041	726	726	
11950	15041	556	726	
12174	15041	556	726	
-11.7333	15041	726	726	
12936	15041	556	726	
-47.7333	15041	726	726	
-0.733333	15041	726	726	
-175.733	15041	726	726	
12587	15041	556	726	
12122	15041	556	726	
11979	15041	556	726	
12077	15041	556	726	
11105	15041	726	726	
12743	15041	726	726	
13429	15041	726	726	
11570	15041	556	726	
-28.7333	15041	726	726	
14064	15041	726	726	
-19.7333	15041	556	726	
-225.733	15041	556	726	
-3.73333	15041	726	726	
-66.7333	15041	556	726	
11745	15041	726	726	
15994	15994	726	726	
12450	15994	726	726	
10668	15994	726	726	
-105.733	15994	556	726	
-17.7333	15994	556	726	
-44.7333	15994	726	726	
12335	15994	556	726	
-88.7333	15994	556	726	
13393	15994	726	726	
13339	15994	556	726	
-21.7333	15994	556	726	
15620	15994	556	726	
14081	15994	726	726	
12703	15994	726	726	
-119.733	15994	556	726	
12232	15994	726	726	
-3.73333	15994	556	726	
-53.7333	15994	726	726	
-82.7333	15994	556	726	
11964	15994	556	726	
12876	15994	726	726	
-63.7333	15994	726	726	
-40.7333	15994	556	726	
12022	15994	726	726	
-29.7333	15994	556	726	
14092	15994	556	726	
14090	15994	556	726	
12766	15994	726	726	
13821	15994	556	726	
-224.733	15994	726	726	
10746	15994	726	726	
-31.7333	15994	556	726	
10958	15994	726	726	
12855	15994	556	726	
